Pais	Provincia	Partido	Localidad	ADSL	Cablemódem	Dial Up	Fibra óptica	4G	3G	Telefonía Fija	Wireless	Satelital	Total	Latitude	Longitude	location
ARGENTINA	BUENOS AIRES	25 de Mayo	25 de Mayo	1	1	0	1	1	1	1	1	1	8			
ARGENTINA	BUENOS AIRES	25 de Mayo	Agustín Mosconi	0	0	0	0	0	0	1	0	0	1	-35.7403278	-60.5572213	Agustín Mosconi, Partido de Veinticinco de Mayo, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	Del Valle	1	0	0	0	1	1	0	0	1	4			
ARGENTINA	BUENOS AIRES	25 de Mayo	Ernestina	1	0	0	0	0	0	1	0	0	2	-35.2705077	-59.5574743	Ernestina, Partido de Veinticinco de Mayo, Buenos Aires, B6665, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	Gobernador Ugarte	0	0	0	0	0	0	0	1	0	1	-35.1639362	-60.0786924	Gobernador Ugarte, Partido de Veinticinco de Mayo, Buenos Aires, 6621, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	Lucas Monteverde	0	0	0	0	0	0	0	1	0	1	-35.4845683	-59.9843823	Lucas Monteverde, Partido de Veinticinco de Mayo, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	Norberto de la Riestra	0	1	0	1	1	1	1	1	0	6	-35.2726492	-59.7753389	Norberto de la Riestra, Partido de Veinticinco de Mayo, Buenos Aires, 6663, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	Pedernales	1	0	0	1	1	0	1	1	0	5	-35.2667367	-59.6313119	Pedernales, Partido de Veinticinco de Mayo, Buenos Aires, 6665, Argentina
ARGENTINA	BUENOS AIRES	25 de Mayo	San Enrique	0	0	0	0	0	0	1	0	0	1			
ARGENTINA	BUENOS AIRES	25 de Mayo	Valdés	0	0	0	0	1	0	1	0	0	2	-35.6480745	-60.4656515	Valdés, Partido de Veinticinco de Mayo, Buenos Aires, 6667, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	12 de Octubre	0	0	0	0	0	0	1	1	0	2			
